nom_suggere;categorie;detail;ville;region;courriel;telephone;site;adresse;code_postal;gps;image;resume;nom_brut_melange
Temiscaming;Centre nautique;Marina;Témiscaming;Témiscamingue;;819 627-3273;https://www.temiscaming.net/fr/tourisme/marina;Promenade du Lac;J0Z3R0;46.7164478,-79.102865;https://www.temiscaming.net/upload/page/te__miscaming_-_marina.jpg;La Marina de Témiscaming, située dans la magnifique région de l'Abitibi-Témiscamingue, offre un cadre idyllique pour les passionnés de navigation. Avec des quais disponibles à la location, elle permet un accès facile aux plaisirs nautiques. Sur place, les visiteurs peuvent profiter d'un service d'essence pratique et de facilités pour le chargement et le déchargement des bateaux. Un personnel accue;Sentiers du parc des Chutes de Denholm
Marinatadoussac;Centre nautique;Marina;Tadoussac;La Haute-Côte-Nord;marinatadoussac@gmail.com;418 235-4585;http://www.marinatadoussac.com;100, rue du Bord-De-L'Eau;G0T2A0;48.137962,-69.715644;https://static.wixstatic.com/media/a75b12_f5edef89585440f099a2d363bca7dac6%7Emv2.png/v1/fit/w_2500,h_1330,al_c/a75b12_f5edef89585440f099a2d363bca7dac6%7Emv2.png;La marina de Tadoussac, nichée dans l'une des plus belles baies du monde, constitue une destination incontournable pour les amoureux de la nature et des activités nautiques. Située au confluent du fjord du Saguenay et du fleuve Saint-Laurent, elle offre des emplacements à quai adaptés aux plaisanciers avec des services complets incluant restauration et approvisionnement en carburant. Sportifs et a;Sentiers du Moulin
Marinakitchissipi;Centre nautique;Marina;Gatineau;Gatineau;gerantmkg@outlook.com;819 663-0611;https://marinakitchissipi.com;5 Rue Sanscartier;J8P 4N6;45.478445,-75.639976;https://marinakitchissipi.com/wp-content/themes/selectrum/assets/images/logo.png;Découvrez le charme unique de la région au cur du Québec, où la nature et la culture se rencontrent. Cet endroit attrayant offre une ambiance sereine et accueillante, parfaite pour se ressourcer. Les visiteurs peuvent profiter d'activités variées, de la randonnée à la découverte de la gastronomie locale, tout en explorant des paysages à couper le souffle. La proximité des lacs et des forêts ajout;PLUMES & BULLES
Centrenautiquedegrandespiles;Centre nautique;Marina;Grandes-Piles;Mékinac;centrenautiquegp@gmail.com;819 531-7522;https://centrenautiquedegrandespiles.com;599 1re Av;G0X 1H0;46.684076,-72.723524;http://centrenautiquedegrandespiles.com/wp-content/uploads/elementor/thumbs/lepave-Blanc-q81w92dn3ho3sej830lvlvqfs14054s7rzva9kmvb4.png;Découvrez le Centre nautique de Grandes-Piles, situé au cur d'une nature préservée dans la magnifique région de la Mauricie. Cet établissement convivial offre une gamme d'activités nautiques qui vous permettront de profiter pleinement du paysage environnant, notamment la baignade, le kayak et la location de petits bateaux. L'atmosphère y est chaleureuse et c'est l'endroit idéal pour des moments e;Plage du Parc Régional des Îles-de-Saint-Timothée
Portquebec;Centre nautique;Marina;Québec;Québec;marina@portquebec.ca;418 648-2233;https://marina.portquebec.ca;155, Abraham-Martin;G1R4M8;46.81858,-71.212802;https://marina.portquebec.ca/wp-content/uploads/sites/6/2023/08/Vagues_Rouge_01.svg;Découvrez la marina du Port de Québec, un havre de paix situé au cur du Vieux-Québec, au bord du magnifique Bassin Louise. Ce site enchanteur est lendroit idéal pour profiter du Saint-Laurent en famille ou entre amis. Avec ses installations modernes et une gamme complète de services, y compris l'entreposage et des aires récréatives, vous bénéficierez d'une expérience agréable et conviviale. La c;PARC RÉGIONAL DES GRANDES-RIVIÈRES DU LAC SAINT-JEAN
Marinadeportneuf;Centre nautique;Marina;Portneuf;Portneuf;;418 286-2263;https://marinadeportneuf.com;100, rue du Quai;G0A 2Y0;46.6834938,-71.8790763;https://marinadeportneuf.com/wp-content/uploads/2018/03/cropped-logoentete.png?w=200;Découvrez la Marina de Portneuf, un charmant refuge situé sur la rive nord du fleuve Saint-Laurent, entre Québec et Trois-Rivières. Idéalement positionnée près des Rapides Richelieu, cette marina récemment rénovée propose 87 places à quai pour des embarcations jusqu'à 60 pieds. Protégé des vagues extérieures, son ambiance paisible est parfaite pour les manuvres en toute sécurité. Sur place, vous ;Parc régional des Grandes-Coulées | Parc régional | Plessisville | Bonjour Québec
Ycmi;Centre nautique;Marina;Montréal;Montréal;infoycmi@gmail.com;514 789-9264;http://www.ycmi.com/welcome_fr.php;Bassin de l'horloge, Vieux-Port;;45.510923,-73.548164;http://www.ycmi.com/files/welcome_1.png;Le Yacht Club de Montréal, situé au cur du Vieux-Port, offre une expérience unique alliant tranquillité et proximité du centre-ville. Ce club maritime, reconnu pour son excellence, se distingue par ses installations de premier ordre et son ambiance conviviale. Les plaisanciers peuvent y profiter de services attentifs, tout en appréciant la beauté du fleuve Saint-Laurent. Grâce à l'engagement de s;MAISON ROUGE
Clubnautiquedelabatture;Centre nautique;Marina;Nicolet;Nicolet-Yamaska;clubnautiquedelabatture@sogetel.net;819 293-6912;http://www.clubnautiquedelabatture.com;2750, Bas-de-la-Rivière;J3T1E4;46.243119,-72.648824;https://static.wixstatic.com/media/03908b_7ff1934c5b1b44d895f355303499ac4d.png/v1/fill/w_124,h_140,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/03908b_7ff1934c5b1b44d895f355303499ac4d.png;Le Club Nautique de la Batture, situé au bord du magnifique lac Saint-Pierre, est un lieu idéal pour les amateurs de navigation et de nature. Offrant une atmosphère conviviale, il permet aux visiteurs d'admirer des couchers de soleil à couper le souffle. Le club dispose d'un bar et d'une restauration rapide, parfaits pour se détendre après une journée sur l'eau. Des événements variés sont égalemen;MAISON BELLEMARE
Info Marina;Centre nautique;Marina;Gaspé;La Côte-de-Gaspé;cnforillon@outlook.com;418 269-1212;https://www.info-marina.ca/fr/explore/fleuve-saint-laurent-15/golfe-du-saint-laurent-34/club-nautique-forillon-inc-188;17, rue de la Langevin;G4X5G4;48.994833,-64.386277;https://www.info-marina.cahttps://www.info-marina.ca/uploads/company/188/thumb_club-nautique-forillon.jpg;Découvrez un lieu paisible où l'eau et la nature s'harmonisent à merveille. Nichée dans une région magnifique, cette marina offre un cadre idéal pour s'évader et profiter des plaisirs aquatiques. Que vous soyez en quête de détente ou d'aventure, vous pourrez pratiquer la navigation, le kayak ou simplement savourer la beauté des paysages environnants. L'atmosphère chaleureuse et accueillante vous i;LES OISEAUX DU BOISÉ DE LA RIVIÈRE NOIRE
Marinahavreaubert;Centre nautique;Marina;Les Îles-de-la-Madeleine;Communauté maritime des Îles-de-la-Madeleine;marinahavreaubert1@gmail.com;418 937-5283;http://www.marinahavreaubert.com;Site historique de la Grave, 984, ch. de la Grave;G4T9C7;47.235995,-61.842206;https://static.wixstatic.com/media/58edd9_430154f67b6648f58b80256467d64ab0.jpg/v1/fit/w_2500,h_1330,al_c/58edd9_430154f67b6648f58b80256467d64ab0.jpg;La Marina de Havre-Aubert, située aux Îles de la Madeleine, est un véritable havre pour les passionnés de nautisme et de nature. Offrant une ambiance conviviale et paisible, cet endroit invite à la détente et à l'évasion. Les visiteurs peuvent profiter d'activités variées, comme des balades en kayak, des excursions en bateau, ou simplement admirer le paysage maritime exceptionnel. La marina est ég;LE GRAND R - CLUB R
Marinavillagebatiscan;Centre nautique;Marina;Batiscan;Les Chenaux;info@marinavillagebatiscan.com;418 362-2722;http://www.marinavillagebatiscan.com/marina-c1bae;1500, rue Principale;G0X1A0;46.523829,-72.241834;https://static.wixstatic.com/media/6b813d_0086319c8f866c8634a14d19d6d6ae11.png/v1/fit/w_2500,h_1330,al_c/6b813d_0086319c8f866c8634a14d19d6d6ae11.png;La marina de Batiscan, récemment rénovée, vous offre un accès direct au fleuve Saint-Laurent et aux eaux tranquilles de la rivière Batiscan. Avec 60 quais pouvant accueillir jusqu'à 80 bateaux, elle est idéale pour les passionnés de navigation. La marina propose divers services, tels que l'eau, l'électricité, une pompe à essence, et des installations pour la mise à l'eau. Les emplacements saisonni;LE CADRE BLEU
Marinamatane;Centre nautique;Marina;Matane;La Matanie;marinamatane@gmail.com;418 562-3300;http://www.marinamatane.com;175, rue du Barachois;G4W3N1;48.852932,-67.526247;http://www.marinamatane.com/images/resized/200x200_216.png?v45;Découvrez la marina de Matane, une escale incontournable pour les amateurs de navigation et de paysages côtiers. Située à lembouchure de la rivière Matane, renommée pour sa pêche au saumon, cette marina vous invite à explorer un environnement chaleureux dans sa capitainerie en bois au charme unique. Une fois amarré, profitez des commodités à proximité, avec un accès facile au centre-ville et ses ;LA GRANGE
Lecnl;Centre nautique;Marina;Longueuil;Longueuil;direction@lecnl.com;450 646-0197;http://www.lecnl.com;601, ch. de la Rive;J4H4C9;45.534135,-73.519647;https://static.wixstatic.com/media/90a441_017ab9a93c5944958e0d45ff4be3353b%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/90a441_017ab9a93c5944958e0d45ff4be3353b%7Emv2.jpg;La marina du Club nautique de Longueuil, fondée en 1867, est un lieu enchanteur pour tous les passionnés de navigation sur la Rive Sud du Saint-Laurent. Réputée pour son accueil chaleureux, elle offre des services variés, incluant des quais pour plaisanciers et une rampe de mise à l'eau adaptée à des embarcations allant jusqu'à 13 pieds de large. Le club, un espace convivial et solidaire, est parf;L'ASSOCIATION DES AMIS DE LA FORÊT DU LAC ANAIS
Campingvalbrillant;Centre nautique;Marina;Val-Brillant;La Matapédia;m.vignola@mrcmatapedia.quebec;418 742-3212;http://www.campingvalbrillant.com/marina;8, rue des Cèdres;G0J3L0;48.534571,-67.54925;https://campingvalbrillant.com/wp-content/uploads/2025/02/icone_marina.png;La Marina de Val-Brillant, unique en son genre sur le lac Matapédia, est un havre de paix pour les passionnés de voile, de pêche et de navigation de plaisance. Située au cur du Parc des bois et des berges, elle offre un cadre enchanteur pour profiter des levers et couchers de soleil inoubliables. La marina dispose de 42 places à quai, d'une rampe de mise à leau, ainsi que d'une aire de pique-niq;L'ASSOCIATION DE CHASSE ET PÊCHE DE LA MAURICIE
Lambton;Centre nautique;Marina;Lambton;Le Granit;parcsf@lambton.ca;418 486-2607;https://lambton.ca/pglsf;158, chemin J-Cyrille-Bureau;G0M 1H0;45.8430006,-71.108356;https://www.lambton.ca/fichiersUploadOpt/1200-0-0-0-1200-630-1e81e6822e83ac06b7af68764d9d26681865a782b6873a595/20250626100327-partagefacebook.png;Le circuit historique de Lambton, agrémenté de douze panneaux d'interprétation, vous invite à découvrir l'histoire riche de ce charmant village au bord du Grand lac Saint-François. Situé devant l'église Saint-Vital, d'une architecture romane impressionnante, ce parcours unique vous plonge dans les débuts de la colonisation et les souvenirs d'enfance des habitants. La galerie d'art du presbytère, o;HÔTEL MONTFORT
Marinadegaspe;Centre nautique;Marina;Gaspé;La Côte-de-Gaspé;info@marinadegaspe.com;418 368-1288;https://marinadegaspe.com;10, rue de la Marina;G4X3B1;48.824977,-64.476035;http://static1.squarespace.com/static/60d767fca8c46c42747fd236/t/6197c9f3c5f3603d12ad57ba/1637623026922/Club-Nautique-_Logo-2.png?format=1500w;Le Club Nautique Jacques-Cartier est une destination prisée pour les amateurs de plaisance et d'activités nautiques, situé dans la splendide région de lest du Québec. Ici, vous pourrez profiter dun cadre enchanteur offrant des vues imprenables sur l'un des plus beaux plans deau de la région. Que ce soit pour naviguer en bateau, faire du kayak ou se détendre au bord de l'eau, l'atmosphère chaleu;HÔTEL MANOIR SUR LE CAP
Ycq;Centre nautique;Marina;Québec;Québec;info@ycq.ca;418 681-4617;https://ycq.ca;1225, boul. Champlain;G1K0A2;46.786324,-71.235952;https://ycq.ca/wp-content/uploads/2025/07/logo-1.png;Le Yacht-Club de Québec, fondé en 1861, est lun des plus anciens clubs nautiques dAmérique, offrant une expérience unique au cur de la ville de Québec. Ce lieu paisible est parfait pour les passionnés de navigation de plaisance et ceux en quête de détente. Les installations modernes, un restaurant chaleureux et des événements sociaux animent cet espace convivial. Les visiteurs peuvent participe;GRAND HOTEL TIMES BLAINVILLE - MIRABEL
Mathiasmarine;Centre nautique;Marina;Saint-Mathias-sur-Richelieu;Rouville;ventebateau@mathiasms.com;450 864-1045;http://mathiasmarine.com/location-de-quais;874, ch. des Patriotes;J3L6A2;45.522108,-73.235941;https://mathiasmarine.com/static/frontend/Traction/MathiasMarine/fr_FR/images/logo_mathias_sport_white.png;La location de quais Mathias Marine vous propose plus de 800 places à quais sur la magnifique rivière Richelieu, à proximité du bassin de Chambly. Cet emplacement privilégié, à seulement un peu plus d'une heure des écluses de Saint-Ours, permet un accès rapide à des lieux de mouillage, idéaux pour profiter de journées ensoleillées. Vous trouverez une ambiance chaleureuse sur notre grande plateform;ESTÉREL RESORT
Shawinigan;Centre nautique;Marina;Shawinigan;Shawinigan;info@marinagm.com;819 531-8722;https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/marina-de-grand-mere;99 Avenue Cahoon;G9T;46.6135786,-72.692622;https://www.shawinigan.ca/wp-content/uploads/2021/05/partages-reseaux-sociaux.jpg;La Marina de Grand-Mère, située à Shawinigan, est un endroit charmant qui offre 99 places à quai, dont 10 réservées aux visiteurs. Elle s'intègre au complexe récréotouristique du parc des Papetiers, où l'on peut admirer une tour d'observation et des vestiges de l'époque industrielle, comme un pont suspendu de 1928 et la centrale hydroélectrique de Grand-Mère. Les plaisanciers peuvent profiter de s;ENTOURAGE SUR-LE-LAC
Marinavieuxbeloeil;Centre nautique;Marina;Beloeil;La Vallée-du-Richelieu;info@marinavieuxbeloeil.com;514 718-2628;https://www.marinavieuxbeloeil.com;707, rue Richelieu;J3G 6W4;45.542538,-73.226716;http://static1.squarespace.com/static/60b1245177dc3735f362cb7c/t/60b129838e64fd2f3cb72d7d/1622223246527/marinalogo.png?format=1500w;Découvrez la Marina du Vieux-Beloeil, un véritable oasis sur la rivière Richelieu, où la convivialité et la nature se rencontrent. Installée depuis 1945, cette marina unique au Québec dispose d'un bar flottant et propose des pontons neufs à louer, parfaits pour des journées en famille ou entre amis. Profitez de l'atmosphère estivale et festive tout en admirant la vue sur le mont Saint-Hilaire. Que;ELYSIUM @ ETOILE DU MATIN 1510-27
Marinabobino;Centre nautique;Marina;Laval;Laval;gaetan@marinabobino.com;450 666-1395;http://www.marinabobino.com/marina_bobino_sports.php;9100, boul. des Mille-Îles;H7A4C6;45.69484,-73.572585;http://www.marinabobino.com/images/marina-laval.jpg;Marina Bo-Bi-No est une entreprise familiale située sur la Rive-Nord, à Laval, offrant une vaste gamme de bateaux, moteurs hors-bord et produits nautiques depuis plus de 25 ans. Avec trois emplacements, à Saint-François, Sainte-Dorothée et Pointe-Calumet, la marina se distingue par son accueil chaleureux et son expertise. Vous y trouverez des chaloupes Lund, des pontons et un choix varié d'accesso;DOMAINE DU MASSIF
Marinabergeronnes;Centre nautique;Marina;Les Bergeronnes;La Haute-Côte-Nord;marinabergeronnes@gmail.com;418 232-1115;http://marinabergeronnes.com;498, rue de la Mer;G0T1G0;48.231,-69.549886;http://marinabergeronnes.com/attachments/Image/DJI_0010.JPG;La Marina des Bergeronnes, située sur la rue de la Mer à Bergeronnes, est un lieu incontournable pour les amoureux de la nature et des activités nautiques. Avec son ambiance conviviale, cette marina vous invite à explorer le magnifique fleuve Saint-Laurent et ses paysages époustouflants. En été, vous pourrez réserver votre emplacement au quai pour profiter pleinement de vos activités, que ce soit ;DOMAINE DU LAC-DES-CÈDRES
Lenautique;Centre nautique;Marina;Saint-Jean-sur-Richelieu;Le Haut-Richelieu;marina@lenautique.com;450 542-1989;https://lenautique.com/marina-saint-jean-sur-richelieu;55, rue Richelieu;J3B6X2;45.302793,-73.250625;https://lenautique.com/wp-content/uploads/2025/04/Horaires-declusage-FR-SJSR-2025.png;La Marina Le Nautique de Saint-Jean-sur-Richelieu, fondée il y a plus de 60 ans, est un lieu emblématique où s'entremêlent convivialité et charme. Située sur les rives de la rivière Richelieu, elle offre une escale idéale pour les plaisanciers et les visiteurs, grâce à ses nombreux services et à son ambiance chaleureuse. Le restaurant Les Berges, véritable bistro à la française, propose une cuisin;DOMAINE DU LAC WILLIAM
Tourismeilesdelamadeleine;Centre nautique;Marina;Les Îles-de-la-Madeleine;Communauté maritime des Îles-de-la-Madeleine;clubnautiquecam@hotmail.com;418 986-6950;https://www.tourismeilesdelamadeleine.com/fr/club-nautique-de-cap-aux-meules/marinas;220, ch. du Quai;G4T1J4;47.377276044271,-61.85405224564;https://www.tourismeilesdelamadeleine.com/fichiersUpload/banquesDImagesMembres/fiche_20130423084836-20130423084819-hf017-mbonato.jpg;Découvrez la marina de Cap-aux-Meules, un havre maritime situé dans la magnifique baie de l'archipel des Îles de la Madeleine. Avec 55 emplacements équipés de douches, d'électricité, et d'eau chaude et froide, cet endroit est idéal pour les plaisanciers recherchant confort et convivialité. Participez à des activités maritimes tout au long de l'été, notamment la régate et la course triangle qui ani;DOMAINE DU LAC PARENT
Nddn;Centre nautique;Marina;Notre-Dame-du-Nord;Témiscamingue;dg.nddn@mrctemiscamingue.qc.ca;819 723-2116;http://nddn.ca/tourisme/marina;481, ch. de la Gape;J0Z3B0;47.587193,-79.483584;https://www.nddn.ca/wp-content/uploads/2022/08/180x110_logo-1.png;La Marina Tête-du-Lac, située au bord du lac Témiscamingue à Notre-Dame-du-Nord, est un havre de paix pour les plaisanciers et les amoureux de la nature. Ce site sécuritaire et convivial offre 12 emplacements saisonniers et 4 quais pour les visiteurs en escale, avec une capacité d'amarrage maximale de 40 pieds. Les services incluent l'approvisionnement en électricité, en eau potable, ainsi que des;DOMAINE DU LAC NOIR
Villevillemarie;Centre nautique;Marina;Ville-Marie;Témiscamingue;marina@villevillemarie.org;819 629-2881;http://www.villevillemarie.org/loisirs-et-culture/marina-ville-marie;7 Rue Sainte Anne Ouest;J9V 1B6;47.329691971054,-79.44393912037;https://www.villevillemarie.org/wp-content/uploads/2018/07/telephone-128.png;La marina municipale de Ville-Marie, située à deux pas du centre-ville et à proximité du Parc du Centenaire, est un lieu idéal pour les plaisanciers. Avec 86 emplacements sur le majestueux Lac Témiscamingue, elle offre un accès facile aux attractions de la ville. Ses installations de qualité, incluant eau, électricité, Wi-Fi et douches, garantissent un séjour agréable. Le personnel attentionné et ;DOMAINE DU LAC LONG
Parcoctopus;Centre nautique;Marina;Desbiens;Lac-Saint-Jean-Est;info@parcoctopus.com;581 221-2487;https://parcoctopus.com/marina;255, rue du Quai;G0W1N0;48.419398,-71.961826;https://parcoctopus.com/app/uploads/2021/05/opengraphnew.jpg;Découvrez la marina du parc, nichée sur le pittoresque Lac-Saint-Jean à Desbiens. Un refuge idéal pour les plaisanciers, elle offre une quarantaine de quais sécurisés, un service de dépanneur et des commodités comme des blocs sanitaires et une buanderie. Que vous soyez de passage ou saisonnier, profitez d'un environnement paisible et familial au bord de l'eau. De nombreuses activités s'offrent à v;DOMAINE DE L'ARCHIPEL
Marinasaurel;Centre nautique;Marina;Sorel-Tracy;Pierre-De Saurel;info@marinasaurel.com;450 742-9056;http://www.marinasaurel.com;155, ch. Ste-Anne;J3P1J6;46.048645,-73.091058;https://www.marinasaurel.com/images/img_facebook.jpg;La Marina de Sorel-Tracy est un havre de paix pour les amateurs de nautisme, offrant 470 places à quai dans un cadre naturel exceptionnel. Située au cur de la réserve mondiale de la biosphère du Lac-Saint-Pierre, classée par l'UNESCO, elle permet aux navigateurs de découvrir un environnement riche en îles, marais et chenaux. Que vous veniez du Lac Champlain, des Grands Lacs ou du golfe du Saint-L;Club de golf coopératif Lac Etchemin
Portdeplaisancelaronde;Centre nautique;Marina;Montréal;Montréal;info@portdeplaisancelaronde.com;514 875-1234;https://www.portdeplaisancelaronde.com;Île Ste-Hélène;H3C6A3;45.526915,-73.534112;https://www.portdeplaisancelaronde.com/wp-content/uploads/2022/04/LOGOLaRonde.png;Découvrez la Marina à Montréal, un lieu emblématique fondé lors de l'Expo 67, anciennement connue sous le nom de Port Sainte-Hélène. Nichée au bord de l'eau, cette marina dynamique accueille plus de 350 plaisanciers avec des installations modernes et variées. Vous y trouverez des services adaptés aux besoins des navigateurs, allant de l'épicerie à des soins de beauté. La Marina La Ronde s'engage à;Club de golf Bellevue
Centrenautiquedebeauharnois;Centre nautique;Marina;Beauharnois;Beauharnois-Salaberry;;;https://www.centrenautiquedebeauharnois.com;214 Boulevard de Maple Grove;J6N 1L3;45.3184237,-73.851444;http://static1.squarespace.com/static/6596cf49714b3c5415a7393d/t/6596f95dfaac592d31d27d23/1704393053530/rond-removebg-preview+%281%29.png?format=1500w;Le Centre Nautique de Beauharnois est une destination incontournable pour les passionnés de nautisme et de pêche. Situé dans la belle région de Beauharnois, il propose une vaste gamme de services, allant de la vente d'embarcations et de moteurs à la mécanique de bateau. Les visiteurs peuvent également profiter de conseils d'experts, des accessoires de pêche et des services spécialisés tels que la ;Club de golf Bel-Air
Campingmarinabellerive;Centre nautique;Marina;Saint-Ours;Pierre-De Saurel;info@campingmarinabellerive.com;450 785-2272;https://www.campingmarinabellerive.com/plan-camping-marina-bellerive/plan-marina-sorel-tracy;1992, ch. des Patriotes;J0G1P0;45.932716,-73.147204;http://www.campingmarinabellerive.com/images/logo.png;Découvrez une expérience unique au cur de la nature québécoise. Situé dans une région privilégiée, ce lieu est parfait pour les amateurs de plein air. Vous pourrez profiter d'activités variées telles que la randonnée, le kayak, ou simplement vous détendre dans un cadre enchanteur. L'atmosphère chaleureuse et accueillante invite les visiteurs à se reconnecter avec la nature et à savourer des momen;Chemin de Saint-Jacques-Appalaches
Marinasieurdechamplain;Centre nautique;Marina;Lacolle;Le Haut-Richelieu;richard@marinasieurdechamplain.com;450 246-3482;https://www.marinasieurdechamplain.com;195, rang de la Barbotte;J0J1J0;45.022661648548,-73.35350993652;https://static.wixstatic.com/media/fd3910_d2125e143fae46ceb106c9d3bd1f3ad8~mv2.png/v1/fill/w_198,h_184,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/SIEUR%20DE%20CHAMPLAIN3.png;Découvrez un service de remisage sécuritaire pour votre bateau, situé dans une région paisible et accessible. Avec des installations modernes, vous bénéficierez d'un entreposage sur un terrain entièrement compacté, doté d'eau et d'électricité. Cette solution vous assure tranquillité d'esprit pendant les mois d'hiver, tout en préservant votre embarcation dans des conditions optimales. Que vous soye;CAP À L'ILE
Marinatroisrivieres;Centre nautique;Marina;Trois-Rivières;Trois-Rivières;info@marinatroisrivieres.com;819 374-5862;http://www.marinatroisrivieres.com;1, ch. de l'Île Saint-Quentin;G9A 5E3;46.3534,-72.516718;https://www.marinatroisrivieres.com/wp-content/uploads/2019/06/services-tarifs.png;La Marina de Trois-Rivières, située sur le fleuve Saint-Laurent à l'embouchure de la rivière Saint-Maurice, est un lieu de rendez-vous prisé pour les passionnés de navigation depuis 1947. Avec ses six quais, elle offre 245 places à quai, dont 10 pour les visiteurs, garantissant un accès privilégié à ces deux voies navigables. Sur place, le restaurant Le Rouge Vin se présente comme une oasis gastro;CAMPING DOMAINE LAVOIE
Sousboisdelanse;Centre nautique;Marina;Saint-Juste-du-Lac;Témiscouata;info@sousboisdelanse.com;418 899-2855;http://www.sousboisdelanse.com/services/marina;123, ch. du Lac;G0L 3R0;47.634957,-68.786236;http://www.sousboisdelanse.com/images/logo.jpg;Découvrez la marina Emplacement Marina, un incontournable pour les amateurs de plaisance dans la région. Que vous soyez de passage ou que vous souhaitiez profiter d'un emplacement saisonnier, cet espace agréable vous offre la possibilité de louer un poste à flot pour la journée ou plus longtemps. Plongez dans l'atmosphère nautique tout en admirant les paysages environnants. La marina est facilemen;CAMPING AU SOLEIL COUCHANT
Pubmassonmarina;Centre nautique;Marina;Sainte-Marguerite-du-Lac-Masson;Les Pays-d'en-Haut;admin@pubmassonmarina.com;438 865-0044;https://www.pubmassonmarina.com;60, ch. Masson;J0T1L0;46.032976,-74.058729;https://www.pubmassonmarina.com/wp-content/uploads/2022/03/aire_de_repos_pub_masson_marina.png;Situé dans les magnifiques Laurentides, le Pub Masson Marina vous invite à découvrir le Lac Masson dans un cadre paisible. Avec 76 quais disponibles pour pontons et bateaux, vous pourrez naviguer dans un vaste territoire tout en profitant de la proximité de la plage municipale et des commodités locales. Louez un ponton, un kayak ou un paddleboard et explorez les eaux cristallines du lac avec vos p;Café création céramique
Parcnautique;Centre nautique;Marina;Saint-Jean-Port-Joli;L'Islet;info@parcnautique.com;418 598-7374;http://www.parcnautique.com;20, rue des Pionniers O.;G0R3G0;47.214298,-70.271844;https://lh3.googleusercontent.com/sitesv/AAzXCkdzrt9k6s0YCoAZFhGr1SmmMRV_Xjn8J4l2ztpTig16ys2RhDh5ot503fX7klsBCd4TN2N87OaB0JOEtUuyQcWwch8BCP0Yg52kSENvHatE1FnZlJKI0ZNvUZgL_j_jp06j7NRJWi-7WB9MfCZZDM72VgmfgbOIRJ6nkvJBG_9hJRhSSOguqzkx=w16383;Nichée au cur du village de Saint-Jean-Port-Joli, sur la rive sud du fleuve Saint-Laurent, cette destination chaleureuse est idéale pour une escale ou un séjour prolongé. Profitez d'une atmosphère paisible où la nature s'épanouit, entre le fleuve majestueux, les montagnes environnantes et des couchers de soleil à couper le souffle. Explorez notre marina et laissez-vous séduire par les expériences;Cabaret l'Enfer
Damenterre;Centre nautique;Marina;Alma;Lac-Saint-Jean-Est;info@damenterre.qc.ca;418 668-3016;https://www.damenterre.qc.ca/fr/marina;1385, ch. de la Marina;G8B5W1;48.585956,-71.66523;https://www.damenterre.qc.ca/media/system/sites/logos/1466169687_logo_det_800x800.jpg;Découvrez la marina de la Grande Décharge, un havre paisible situé à seulement 15 minutes du centre-ville d'Alma, au bord du lac Saint-Jean. Profitez de ses installations modernes, incluant une capitainerie bien équipée offrant douches, cuisine complète et espaces de détente avec barbecue. Les plaisanciers apprécieront l'accès direct au lac grâce à la rampe de mise à l'eau et à la pompe à essence ;C'est Belge (Granby / boul. Robinson S.)
Marinaroberval;Centre nautique;Marina;Roberval;Le Domaine-du-Roy;info@marinaroberval.ca;418 765-0115;http://www.marinaroberval.ca;854, rue Arthur;G8H 2N7;48.518171,-72.220744;https://marinaroberval.ca/wp-content/uploads/2014/05/LogoHD-150.png;Situé au cur de Roberval, le Club Nautique vous plonge dans l'ambiance paisible du lac Saint-Jean, un écrin naturel de 1300 kilomètres carrés. Cette marina certifiée cinq ancres propose 195 places à quai, avec des emplacements réservés pour les visiteurs. Vous pourrez savourer une cuisine gastronomique dans notre restaurant, ou vous rafraîchir à la crèmerie artisanale. Les familles trouveront un ;BYGS Smoked Meat|Terrebonne
Marinafitchbay;Centre nautique;Marina;Stanstead;Memphrémagog;info@marinafitchbay.ca;819 876-7991;https://www.marinafitchbay.ca;220 et 223 ch. Narrow;J1X 3W4;45.139865,-72.195439;https://static.wixstatic.com/media/915cf6_d45420d65cf44f6b97ae358362675710~mv2.jpg/v1/fill/w_288,h_233,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/915cf6_d45420d65cf44f6b97ae358362675710~mv2.jpg;Découvrez le port de plaisance Fitch Bay, un havre de paix pour les passionnés de pêche et de loisirs nautiques, niché au cur d'une nature préservée. Ce site, situé dans une forêt luxuriante, offre une atmosphère unique et des vues à couper le souffle. Profitez de l'abondance de poissons tels que l'achigan et la truite, tout en explorant les activités variées disponibles, comme la plongée, la bai;AUBERGE DU NORD-CÔTIER
Aviasim;Centre récréatif / sportif;;Montréal;Rouyn-Noranda;contact@aviasim.ca;819 762-8867;https://www.aviasim.ca;7612 Rue centrale;H8P1K9;45.4560615,-73.7524292;https://www.aviasim.ca/wp-content/uploads/2022/11/fb.png;Réalisez votre rêve de devenir pilote le temps d'une journée avec AviaSim, situé au cur du Canada. Que vous soyez seul ou en duo, cette expérience immersive vous permet de prendre les commandes dun simulateur de vol et de ressentir les sensations uniques du pilotage. Avec l'aide d'instructeurs chaleureux, vous décollerez vers la destination de votre choix, profitant de vues panoramiques époustou;Visite de la Mine Canadian Malartic
